Major,Description,Keywords,Career Options,Related Majors
Neuroscience,"Neuroscience is the study of the nervous system and brain function at many levels. These levels include information processing, systems and integrative physiology, and behavior. Our neuroscience curriculum combines the study of molecular and cellular biology with neuroscience, neurophysiology, neurochemistry, and neuropathology.Neuroscience looks at the causes of a variety of neurodevelopmental and neurodegenerative disorders, from brain cancer to epilepsy. It also teaches how to develop biomedical treatments for them. We'll encourage you to take part in faculty-led research programs in many areas. Examples include sensory processing, neuroendocrinology, physiology of neurons and glia, regeneration, and cell signaling.Neuroscience majors become physicians, therapists (physical, speech, and language), pharmaceutical or neurodiagnostic technicians, policymakers, and scientists with pharmaceutical or biotechnology companies, universities, and government agencies.","integrative, neurophysiology, led, teaches, neurochemistry, cell, systems, curriculum, biology, speech, government, system, processing, neuroendocrinology, include, neuroscience, physiology, disorders, research, levels, therapists, faculty, behavior, physical, language, study, neurodevelopmental, sensory, companies, biomedical, cancer, brain, information, neurons, glia, regeneration, encourage, causes, majors, neurodiagnostic, technicians, function, scientists, looks, policymakers, physicians, pharmaceutical, treatments, neurodegenerative, variety, programs, cellular, nervous, develop, biotechnology, molecular, universities, areas, examples, agencies, combines, epilepsy","Physician, Physical Therapist, Speech Therapist, Clinical Research Assistant, Forensic Scientist, Genetic Counselor, Physician’s Assistant, Professor, Pharmacist, Research Scientist, Neuropsychologist","Biochemistry - LAS, Integrative Biology - LAS, Molecular and Cellular Biology - LAS, Psychology - LAS"
Neural Engineering,"Neural engineers apply engineering principles to the design of technologies to understand, repair, and enhance the function of the nervous system.As a neural engineering student, you will receive a rigorous and focused training at the intersection of neuroscience and engineering fundamentals. Upon graduation, you'll contribute to efforts that seek to improve human health. For example, recent advances in neural engineering have:restored mobility to individuals with paralysis, relieved symptoms of movement disorders, reduced chronic pain, restored the sense of hearing, and enabled noninvasive monitoring of electrical signals from individual neurons in the living brain.","individual, design, graduation, monitoring, movement, recent, example, efforts, restored, improve, neuroscience, receive, enhance, disorders, sense, enabled, fundamentals, understand, neural, technologies, contribute, principles, health, paralysis, apply, engineers, brain, individuals, neurons, training, engineering, function, pain, rigorous, repair, student, seek, mobility, hearing, advances, intersection, symptoms, signals, reduced, nervous, chronic, relieved, electrical, living, human, focused, noninvasive","Healthcare Engineer, Neuroengineer, Data Platform Engineer, Quality Engineer, Research Engineer, Clinical Engineer","Bioengineering - ENG, Biology - LAS, Electrical Engineering - ENG, Neuroscience - LAS, Psychology - LAS"
Systems Engineering and Design,"This major provides a solid foundation in math, science, and engineering fundamentals. If you like multiple engineering disciplines, our program may be for you. System engineers must be able to lead others and make decisions. The ability to take risks and deal with the business landscape is also essential. Your curriculum will integrate principles of business, new technology, and entrepreneurship. You will focus your studies on either Pre-approved or Customized Secondary Field Options. Examples of Pre-approved Secondary Field Options include automotive engineering, control systems, and robotics. Examples of Customized Secondary Field Options include pre-med, applied math, and solar energy.","new, field, systems, major, curriculum, robotics, lead, solid, med, landscape, solar, business, system, studies, deal, control, focus, include, fundamentals, pre, multiple, risks, principles, secondary, customized, able, engineers, decisions, integrate, approved, applied, essential, science, technology, entrepreneurship, engineering, automotive, foundation, energy, provides, like, ability, program, disciplines, examples, options, math","Administration, Automotive, control systems, & manufacturing, Business systems integration & consulting, Communication & computer systems, Construction, Marketing & product testing, Operations & quality control, Robotics","Engineering Mechanics - ENG, Materials Science and Engineering - ENG, Operations Management - BUS, Supply Chain Management - BUS"
Accountancy,"Accountancy is about the recording, analysis, and reporting of financial  information. In this major, you'll learn how to ask questions,  analyze, make judgments, solve problems, and make decisions. Our program will prepare you for accounting positions in a variety of fields. Pursuing our fifth-year master’s degree also is an  option.First-year students need to apply to Business Undeclared for admission consideration to Gies. They then can pursue the Accountancy degree if admitted.","pursuing, degree, solve, prepare, problems, major, admission, business, analysis, fifth, analyze, judgments, master, students, admitted, reporting, ask, learn, apply, decisions, information, accountancy, recording, positions, undeclared, financial, consideration, gies, need, pursue, questions, variety, fields, year, program, accounting","Corporate accounting, Forensic consulting, Government accounting, Information technology consulting, Nonprofit accounting, Public accounting, Risk consulting","Accountancy + Data Science - BUS, Agri-Accounting - ACES, Business Undeclared - BUS, Finance - BUS, Financial Planning - ACES"
Accountancy + Data Science,"All business is being transformed by technology and data. Accounting organizes, analyzes, audits, and communicates the “data” of business. Accountants, auditors, and tax consultants must have a native familiarity with data. They should have a natural facility for consuming and analyzing data, and the ability to communicate the lessons from that analysis. Digital technology and the data generated by that technology are transforming our society. Businesses and consumers are looking for ways to harness the power of data to improve the lives of citizens across the globe. Exciting opportunities emerge daily. This degree enables you to combine in-depth knowledge of data with industry and functional expertise.First-year students need to apply to Business Undeclared for admission consideration to Gies. They then can pursue the Accountancy + Data Science degree if admitted. Off-campus transfer students cannot directly apply into this program.","combine, degree, natural, analyzing, transfer, knowledge, globe, admission, business, analysis, exciting, analyzes, power, familiarity, facility, improve, lives, opportunities, students, emerge, accountants, auditors, transforming, businesses, consumers, depth, industry, admitted, organizes, citizens, audits, apply, lessons, accountancy, society, generated, undeclared, communicate, consideration, technology, gies, tax, need, science, directly, daily, pursue, native, campus, data, communicates, harness, enables, transformed, consuming, looking, consultants, ways, ability, functional, year, program, accounting, digital","Financial modeling & research, Data science financial analyst, Data science business intelligence, Quantitative analyst, Risk management analyst, Compliance analyst, Fraud detection, Cost analyst, Corporate accounting, Forensic consulting, Government accounting, Information technology consulting, Nonprofit accounting, Public accounting, Risk consulting","Accountancy - BUS, Astronomy + Data Science - LAS, Business Undeclared - BUS, Finance + Data Science - BUS, Information Sciences + Data Science - SIS"
Acting,"This program is a concentration within Theatre. It provides in-depth training in a variety of performing media with a personal approach. You’ll spend the first 2 years studying all types of theatre. You will also take introductory courses in movement, voice, and acting. After passing a review to enter your final 2 years, you’ll meet in daily 4-hour studio sessions that expand on your previous studies. These may include training in Shakespeare, dialects, stage combat, contemporary and period plays, musical theatre, and on-camera technique. You can apply directly into this concentration, although you must pass an audition before being accepted.","personal, sessions, approach, studying, meet, media, movement, studies, spend, include, hour, camera, introductory, depth, studio, audition, enter, concentration, plays, combat, final, apply, acting, expand, review, training, previous, directly, daily, voice, pass, variety, performing, stage, types, provides, contemporary, technique, passing, shakespeare, accepted, program, dialects, theatre, musical, courses, years, period","Film, Musical theatre, Teaching, Television, Theatre","Dance (BFA) - FAA, Music Open Studies - FAA, Theatre Studies - FAA"
Actuarial Science,"Actuarial Science is a field that combines other fields to find the numbers behind risks and contingencies. In this major, you’ll enjoy the program’s strong foundation of mathematics and receive training in probability modeling. You’ll also learn important skills in math, data analysis, economics, statistics, and finance. With this degree, you’ll be able to determine the risk of certain actions in any industry. Using that information, you will consult on whether those plans are the best course of action.","statistics, degree, enjoy, field, consult, finance, major, find, best, analysis, receive, important, numbers, plans, industry, mathematics, certain, risks, probability, learn, able, information, science, training, course, actions, action, economics, data, skills, strong, risk, foundation, contingencies, fields, program, modeling, determine, actuarial, combines, math","Actuarial science, Data analysis, Quantitative financial analysis, Predictive modeling, Risk analysis, Risk management","Economics - LAS, Finance - BUS, Mathematics - LAS, Statistics - LAS, Statistics and Computer Science - LAS"
Advertising,"Draw upon insights from psychology, sociology, history, and anthropology with advertising. In this major, you will learn to promote products, services, and events. You’ll be able to examine consumer behavior and consumer-oriented messages. You will also study the history of advertising and advertising research methods.","oriented, draw, history, major, sociology, products, consumer, insights, psychology, research, anthropology, behavior, study, learn, able, methods, promote, services, advertising, events, messages, examine","Advertising, Communications, Copywriting, Fundraising, Graphic design, Market research, Marketing, Media relations, Public relations, Publishing, Sales","Communication - LAS, Graphic Design - FAA, Journalism - COM, Marketing - BUS, Psychology - LAS"
Aerospace Engineering,"Aerospace Engineering focuses on the research, development, integration, and production of aerospace systems. This major may interest you if you enjoy working in teams to create systems that include many types of engineering. You may learn about aerodynamics, design, and performance of air and spacecraft and their propulsion systems. Aerospace engineers will gain experience in mechanical, electrical, computer, material, and aerospace applications.","enjoy, create, design, working, systems, major, development, teams, computer, gain, include, research, integration, aerodynamics, interest, air, learn, engineers, material, spacecraft, aerospace, engineering, production, propulsion, focuses, types, applications, performance, experience, electrical, mechanical","Aerospace, Automotive work, Defense, Engines, Government work, Manufacturing, Security","Electrical Engineering - ENG, Engineering Mechanics - ENG, Industrial Engineering - ENG, Mechanical Engineering - ENG"
African American Studies,"African American Studies is a field that explores the life and culture of African American peoples. You will learn about African diaspora, with a focus on relationships, patterns, and ties. As an African American Studies student, you’ll analyze the historical, political, social, and economic issues affecting African Americans. You’ll also develop creative, critical thinking, communication, computer, and statistical skills.","statistical, affecting, american, field, relationships, economic, patterns, life, communication, studies, computer, analyze, focus, political, ties, social, african, peoples, diaspora, learn, americans, historical, critical, thinking, culture, skills, student, creative, develop, explores, issues","Criminal judgement, Human resources, Law, Marketing, Medicine, Teaching, Social work","Anthropology - LAS, English - LAS, History - LAS, Social Work - SSW, Sociology - LAS"
Agri-Accounting,"A concentration under Agricultural and Consumer Economics, Agri-Accounting will teach you accounting in areas like production, processing, and retail. Your classes will consist of business courses, accountancy courses, and economics. You will especially focus on quantitative courses that will help companies in agribusiness. An international business or agricultural component is also included.","classes, agri, teach, business, processing, consumer, focus, international, included, quantitative, consist, component, concentration, agricultural, companies, retail, accountancy, agribusiness, production, economics, help, like, especially, areas, accounting, courses","Consulting, Corporate accounting, Public accounting","Accountancy - BUS, Agribusiness, Markets & Management - ACES, Consumer Economics & Finance - ACES, Farm Management - ACES, Finance in Agri-Business - ACES"
"Agribusiness, Markets & Management","This concentration within Agricultural and Consumer Economics focuses on learning management skills, planning, and human resource management. We place emphasis on the interaction between marketing firms and the business environment. You will learn about agricultural technology, supply, distribution, and processing. Many hands-on opportunities for learning, like seminars and internships, are also included. You can apply directly into this concentration.","management, supply, distribution, resource, firms, business, processing, consumer, included, opportunities, hands, concentration, agricultural, learn, apply, learning, environment, technology, interaction, internships, directly, economics, skills, focuses, seminars, marketing, place, planning, emphasis, like, human","Commodity exchange, Finance, Grain merchandising, Management, Marketing, Procurement, Sales, Technical analysis","Agri-Accounting - ACES, Financial Planning - ACES, Management - BUS"
Agricultural and Biological Engineering (ACES),"Agricultural and Biological Engineering applies science and engineering to production systems. These may include agriculture, food, environment, and energy. Other areas are natural resources, environmental protection and control, and related biological systems. This major may be for you if you’re interested in sustainability or renewable fuel sources. You’ll begin this major in the College of ACES. In your junior year, you will enroll in the College of Engineering to complete the degree. You can choose a concentration in one of the following: Bioprocess Engineering and Industrial Biotechnology; Off-Highway Vehicle and Equipment Engineering; Renewable Energy Systems Engineering; Soil and Water Resources Engineering; Sustainable Ecological and Environmental Systems Engineering; and Synthetic Biological Engineering.","degree, natural, renewable, choose, systems, major, water, highway, complete, food, control, sustainable, junior, include, agricultural, concentration, synthetic, environmental, sources, following, interested, environment, applies, science, college, engineering, production, biological, protection, sustainability, enroll, fuel, begin, agriculture, bioprocess, equipment, resources, energy, ecological, soil, industrial, biotechnology, year, areas, vehicle, related, aces","Agricultural safety & technology, Alternative energy systems, Biofuels & engines, Bioprocess modeling, Crop conditioning & processing, Environmental controls, Food science, Government work, Hydrology, drainage, & irrigation, Project management","Bioengineering - ENG, Civil Engineering - ENG, Crop Sciences - ACES, Molecular and Cellular Biology - LAS, Natural Resources and Environmental Sciences - ACES"
Agricultural and Biological Engineering (ENG),"Agricultural and Biological Engineering applies science and engineering to production systems. These may include agriculture, food, environment, and energy. Other areas are natural resources, environmental protection and control, and related biological systems. This major may be for you if you’re interested in sustainability or renewable fuel sources. You’ll begin this major in the College of ACES. In your junior year, you will enroll in the College of Engineering to complete the degree. You can choose a concentration in one of the following: Bioprocess Engineering and Industrial Biotechnology; Off-Highway Vehicle and Equipment Engineering; Renewable Energy Systems Engineering; Soil and Water Resources Engineering; Sustainable Ecological and Environmental Systems Engineering; and Synthetic Biological Engineering.","degree, natural, renewable, choose, systems, major, water, highway, complete, food, control, sustainable, junior, include, agricultural, concentration, synthetic, environmental, sources, following, interested, environment, applies, science, college, engineering, production, biological, protection, sustainability, enroll, fuel, begin, agriculture, bioprocess, equipment, resources, energy, ecological, soil, industrial, biotechnology, year, areas, vehicle, related, aces","Agricultural safety & technology, Alternative energy systems, Biofuels & engines, Bioprocess modeling, Crop conditioning & processing, Environmental controls, Food science, Government work, Hydrology, drainage, & irrigation, Project management","Bioengineering - ENG, Civil Engineering - ENG, Crop Sciences - ACES, Molecular and Cellular Biology - LAS, Natural Resources and Environmental Sciences - ACES"
Agricultural and Consumer Economics,"This major combines knowledge of the food, environment, and consumer areas. You will become an expert in management, accounting, marketing, policy, and finance. This major will ready you to analyze and make decisions on how to finance the world's aspirations. You’ll apply to one of the following concentrations: Agri-AccountingAgribusiness Markets & ManagementConsumer Economics & FinanceEnvironmental Economics & PolicyFarm ManagementFinance in AgribusinessFinancial PlanningPolicy, International Trade, & DevelopmentPublic Policy & Law","management, finance, knowledge, major, agri, expert, policyfarm, markets, food, consumer, analyze, world, managementfinance, policy, trade, apply, financeenvironmental, decisions, following, concentrations, environment, ready, law, aspirations, economics, managementconsumer, marketing, accountingagribusiness, planningpolicy, developmentpublic, areas, accounting, international, combines, agribusinessfinancial","Applied accounting, Applied economics, Applied finance, Business, Consumer affairs, Law, Management, Policy analysis, Public policy","Agri-Accounting - ACES, Consumer Economics & Finance - ACES, Farm Management - ACES, Financial Planning - ACES, Public Policy & Law - ACES"
Agricultural Communications,"This is a concentration under Agricultural Leadership, Education, and Communications. You'll learn how to develop and deliver information people need to make balanced, informed decisions. You'll also create a portfolio of communications work. It will serve as a vibrant calling card when you apply for jobs or graduate studies.","education, create, deliver, graduate, studies, informed, concentration, agricultural, work, card, serve, learn, apply, decisions, information, need, leadership, vibrant, people, communications, balanced, portfolio, develop, jobs, calling","Advertising, Broadcasting, Editing, Journalism, Multimedia, Photography, Public Relations, Publishing, ·         Writing","Advertising - COM, Agricultural Education - ACES, Communication - LAS, Organizational and Community Leadership - ACES"
Agricultural Education,"This is a concentration under Agricultural Leadership, Education, and Communications. It prepares you to be a high school agriculture teacher. You will be able to teach agricultural science, agribusiness, agricultural mechanics, and horticulture. Your classes will focus on technical subject matter, and you’ll gain hands-on experience at the local, state, and national levels with the FFA organization. You will complete more than 100 hours of instructional experiences prior to student teaching, conduct workshops, and teach in high school classrooms. You’ll also complete a 12-week student teaching experience.","prior, education, ffa, classes, teach, complete, prepares, week, focus, gain, levels, hands, concentration, agricultural, high, able, classrooms, teacher, local, agribusiness, conduct, science, horticulture, leadership, matter, state, technical, student, communications, agriculture, subject, national, teaching, workshops, organization, mechanics, hours, experience, experiences, school, instructional","Curriculum Development, Teaching of High School Agriculture, Teaching of High School Industrial Arts, Teaching of Junior High Agriculture or Science, Sales Support, Training & Organizational Development","Elementary Education (Grades 1-6) - EDU, Learning and Education Studies - EDU, Organizational and Community Leadership - ACES"
"Agricultural Leadership, Education, and Communications","In this major, you’ll learn how to take an interdisciplinary approach to modern agricultural problems. You’ll focus on topics like how people work together and lead their peers, how to learn from and educate others, and how to communicate and report on agricultural issues. You’ll apply directly into one of the following concentrations:Agricultural Communications Agricultural Education Organization & Community Leadership","topics, education, problems, approach, modern, major, community, lead, educate, focus, report, agricultural, work, learn, apply, following, peers, concentrations, communicate, directly, leadership, interdisciplinary, people, communications, organization, like, issues","Advertising, Broadcasting, Community Development, Education, Extension, Governmental Affairs, Human Resources, Journalism & Publishing, Product & Sales Support, Public Relations, Sales & Marketing, Social Media, Training & Organizational Development","Agricultural Education - ACES, Learning and Education Studies - EDU, Organizational and Community Leadership - ACES"
Agronomy,"Agronomy is for students interested in sustainable agriculture production solutions. It helps address urgent global food security and environmental sustainability challenges. This field manages many parts of the agricultural system. It integrates science and the practice of crop production to sustain and economically meet the need for food, fuel, and fiber.You'll take courses incrop sciences, plant biology, soil management, plant protection, environmental science, and data analysis. Our interdisciplinary curriculum also offers you a chance to take part in student research and internships.","urgent, management, address, field, curriculum, meet, agronomy, biology, crop, system, analysis, chance, food, sustainable, sustain, students, manages, research, agricultural, offers, practice, environmental, sciences, interested, solutions, security, integrates, science, economically, need, internships, production, sustainability, protection, data, challenges, interdisciplinary, fuel, student, agriculture, parts, helps, plant, soil, global, incrop, courses","Crop consulting, Crop & food production, International food security, Plant breeding & genetics, Plant & crop research, Sustainable development, Soil & water conservation","Computer Science and Crop Sciences - ACES, Crop Sciences - ACES, Integrative Biology - LAS, Plant Biotechnology - ACES"
Animal Sciences,"This major will combine your interests in biology and animals in a learning environment that goes beyond the classroom. During your freshman and sophomore year, you’ll take core Animal Sciences courses. These may include animal care and use, genetics, anatomy, nutrition, reproduction, and growth. During your junior and senior year, you’ll have the flexibility to pick courses that interest you. You’ll also have opportunities to do undergraduate research and gain experience in our laboratories and farms. You can choose from three concentrations: Companion Animal Science and Equine SciencePre-Veterinary and Medical ScienceTechnology and Management","combine, use, management, farms, sciencepre, choose, classroom, major, nutrition, animals, biology, reproduction, undergraduate, sciencetechnology, sophomore, junior, include, freshman, opportunities, research, gain, medical, growth, interest, companion, veterinary, senior, sciences, concentrations, interests, learning, environment, core, science, animal, care, laboratories, goes, flexibility, genetics, pick, experience, year, equine, courses, anatomy","Animal nutrition, Animal production, Consulting, Humane education, Management, Product development, Research, Teaching, Veterinary medicine","Integrative Biology - LAS, Molecular and Cellular Biology - LAS, Natural Resources and Environmental Sciences - ACES"
